Table S1. Isolates and genomes used in this study.											
											
Identifier	Isolate name	Country of isolation	Date of isolation	Phylogenetic group	Sequence typea	Clonal complexb	Isolation source	Additional infection/isolation information	Population 	Additional infection/isolation information	NCBI Reference
6573	AV125			B2	95	ST95 Cplx	Broiler chicken	Peritonitis	Infection 		This study
6575	AV127			B1	162	ST469 Cplx	Boot drag				This study
6576	AV128			B1	23	ST23 Cplx	Boot drag				This study
6578	AV130			ST117	117	ST117 CC	Broiler chicken	Yolk Sac Infection	Infection 		This study
6579	AV131			A			Boot drag				This study
6580	AV132			B1	88	ST23 Cplx	Broiler chicken	Oviduct - Salpingtis	Infection 		This study
6581	AV133			D	38	ST38 Cplx	Boot drag				This study
6582	AV134			ST117	117	ST117 CC	Broiler chicken	Peritonitis	Infection 		This study
6583	AV135			B2	429		Chick box liner 				This study
6584	AV136			ST117			Broiler chicken	Peritonitis	Infection 		This study
6989	2896		10/28/08	B2	91		Broiler chicken	Liver - Peritonitis	Infection 		This study
6990	2922		5/26/09	B1	162	ST469 Cplx	Broiler chicken	Yolk Sac Infection	Infection 		This study
6991	3234		11/23/12	B2	1618		Broiler chicken	Yolk Sac Infection	Infection 		This study
6992	3273		6/14/13	B1	1049		Broiler chicken	Meconium	Infection 		This study
6993	3282		8/8/13	B1	1049		Broiler chicken	Meconium	Infection 		This study
6994	3287		8/13/13	B1	162	ST469 Cplx	Broiler chicken	Respiratory disease	Infection 		This study
6995	3302		3/103/13	B1	162	ST469 Cplx	Broiler chicken	Yolk Sac Infection	Infection 		This study
6996	3311		10/29/13	B1	297		Broiler chicken	Peritonitis	Infection 		This study
6997	3315		11/7/13	B2	1852		Broiler chicken	Peritonitis	Infection 		This study
6998	3328		1/16/14	B2	428		Broiler chicken	Meconium	Infection 		This study
6999	3329		1/16/14	B2	428		Broiler chicken	Peritonitis	Infection 		This study
7000	3354		4/2/14	B2	7804		Broiler chicken	Meconium	Infection 		This study
7001	3359		4/23/14	B2			Broiler chicken	Meconium	Infection 		This study
7002	3360		5/2/14	B2			Broiler chicken	Meconium	Infection 		This study
7003	3366		5/12/14	A	10	ST10 Cplx	Broiler chicken	Systemic infection	Infection 		This study
7005	3380		9/5/14	D	38	ST38 Cplx	Broiler chicken	Systemic infection	Infection 		This study
7006	4686		1/17/14	B2	95	ST95 Cplx	Broiler chicken	Peritonitis	Infection 		This study
7007	4688		1/17/14	B2	95	ST95 Cplx	Broiler chicken	Peritonitis	Infection 		This study
7008	4689		1/17/14	B2	95	ST95 Cplx	Broiler chicken	Peritonitis	Infection 		This study
7009	4696		1/20/14	B2	352		Broiler chicken	Peritonitis	Infection 		This study
7010	4724		2/3/14	B2	95	ST95 Cplx	Chick box liner 				This study
7011	4737		2/5/14	ST117	117	ST117 CC	Boot drag				This study
7012	4741		2/6/14	ST117	117	ST117 CC	Broiler chicken	colibacillosis	Infection 		This study
7013	4777		2/25/14	ST117	117	ST117 CC	Boot drag		Asymptomatic carriage		This study
7014	4817		3/19/14	ST117	117	ST117 CC	Boot drag		Asymptomatic carriage		This study
7015	4826		3/25/14	B1	2230		Boot drag		Asymptomatic carriage		This study
7016	4833		3/26/14	B2	429		Broiler chicken	Peritonitis	Infection 		This study
7017	4863		4/15/14	B2	95	ST95 Cplx	Boot drag		Asymptomatic carriage		This study
7018	4865		4/15/14	B1	2040		Boot drag		Asymptomatic carriage		This study
7019	4999		6/11/14	B2	429		Boot drag		Asymptomatic carriage		This study
7020	5030		6/24/14	B2	429		Boot drag		Asymptomatic carriage		This study
7021	5060		6/27/14	B2	429		Broiler chicken	Peritonitis	Infection 		This study
7022	5082		6/30/14	B2	429		Broiler chicken	Yolk Sac Infection	Infection 		This study
7030	3371-1		7/1/14	B2	1618		Broiler chicken	Encephalomyelitis	Infection 		This study
7031	3371-2		7/1/14	B2	141		Broiler chicken	Encephalomyelitis	Infection 		This study
7032	3373-1		7/17/14	B2	1618		Broiler chicken	Systemic infection	Infection 		This study
7033	3382-1		9/18/14	B1			Broiler chicken		Asymptomatic carriage		This study
